"","DTG","lon","lat","totTime","totDist","ele","woNum"
"1",2016-07-02 20:06:44,-73.958644,41.394817,0,0,"43.2",106
"2",2016-07-02 20:06:47,-73.958772,41.394847,3,11.1986500311144,"43.4",106
"3",2016-07-02 20:06:50,-73.958899,41.394879,6,22.3864995088518,"43.6",106
"4",2016-07-02 20:06:53,-73.959012,41.39492,9,32.8687637223835,"43.9",106
"5",2016-07-02 20:06:57,-73.959108,41.395002,13,45.0175609813073,"44.2",106
"6",2016-07-02 20:07:02,-73.95924,41.394958,18,57.079898600368,"44.5",106
"7",2016-07-02 20:07:05,-73.959276,41.394872,21,67.1143056999198,"44.9",106
"8",2016-07-02 20:07:09,-73.959223,41.394772,25,79.0938462353851,"45.4",106
"9",2016-07-02 20:07:12,-73.959088,41.394713,28,92.141164070752,"46.0",106
"10",2016-07-02 20:07:15,-73.958989,41.394649,31,103.054788758974,"46.7",106
"11",2016-07-02 20:07:18,-73.958919,41.394564,34,114.177006509124,"47.4",106
"12",2016-07-02 20:07:21,-73.958893,41.394469,37,124.972946587581,"48.1",106
"13",2016-07-02 20:07:24,-73.958917,41.394371,40,136.064832953138,"48.7",106
"14",2016-07-02 20:07:27,-73.958968,41.394279,43,147.156495780514,"49.3",106
"15",2016-07-02 20:07:31,-73.959054,41.394188,47,159.574094307925,"49.8",106
"16",2016-07-02 20:07:35,-73.959126,41.394084,51,172.619575095714,"50.2",106
"17",2016-07-02 20:07:38,-73.959178,41.394002,54,182.728052659169,"50.6",106
"18",2016-07-02 20:07:41,-73.959298,41.393986,57,192.906268820919,"51.0",106
"19",2016-07-02 20:07:44,-73.959417,41.394051,60,205.199080465278,"51.3",106
"20",2016-07-02 20:07:47,-73.959512,41.394128,63,216.878606566453,"51.5",106
"21",2016-07-02 20:07:50,-73.959578,41.394213,66,227.828968273151,"51.6",106
"22",2016-07-02 20:07:53,-73.959637,41.394302,69,238.893917701463,"51.7",106
"23",2016-07-02 20:07:56,-73.959723,41.394375,72,249.738977261356,"51.8",106
"24",2016-07-02 20:07:59,-73.959822,41.394431,75,260.09327301692,"51.8",106
"25",2016-07-02 20:08:02,-73.959942,41.394481,78,271.556360292339,"51.9",106
"26",2016-07-02 20:08:05,-73.960063,41.394506,81,282.037194055837,"51.9",106
"27",2016-07-02 20:08:08,-73.960193,41.394521,84,293.021033180778,"52.0",106
"28",2016-07-02 20:08:12,-73.960348,41.394534,88,306.045576323077,"52.0",106
"29",2016-07-02 20:08:15,-73.960508,41.394534,91,319.407017117388,"52.0",106
"30",2016-07-02 20:08:18,-73.960663,41.394549,94,332.458170534481,"52.0",106
"31",2016-07-02 20:08:21,-73.960792,41.394556,97,343.258975234729,"52.1",106
"32",2016-07-02 20:08:24,-73.960916,41.394543,100,353.71472207032,"52.2",106
"33",2016-07-02 20:08:27,-73.961054,41.394537,103,365.258302882787,"52.5",106
"34",2016-07-02 20:08:30,-73.961189,41.394537,106,376.532018033042,"52.8",106
"35",2016-07-02 20:08:33,-73.961334,41.394541,109,388.64900717339,"53.2",106
"36",2016-07-02 20:08:36,-73.961484,41.394543,112,401.177334773016,"53.7",106
"37",2016-07-02 20:08:39,-73.961618,41.394543,115,412.367539888921,"54.3",106
"38",2016-07-02 20:08:42,-73.961739,41.394543,118,422.472128089559,"55.0",106
"39",2016-07-02 20:08:46,-73.9619,41.394536,122,435.939639140846,"55.7",106
"40",2016-07-02 20:08:49,-73.96203,41.394549,125,446.891838151017,"56.5",106
"41",2016-07-02 20:08:52,-73.962183,41.394573,128,459.945047654996,"57.6",106
"42",2016-07-02 20:08:55,-73.96232,41.39459,131,471.541232037536,"58.6",106
"43",2016-07-02 20:08:59,-73.962458,41.394577,135,483.15597353624,"59.6",106
"44",2016-07-02 20:09:02,-73.962489,41.394489,138,493.288379495557,"60.6",106
"45",2016-07-02 20:09:05,-73.962464,41.394375,141,506.149383312179,"61.5",106
"46",2016-07-02 20:09:08,-73.962424,41.394271,144,518.198875611383,"62.3",106
"47",2016-07-02 20:09:11,-73.962396,41.394177,147,528.920976326598,"63.0",106
"48",2016-07-02 20:09:15,-73.96234,41.394059,151,542.864311092568,"63.8",106
"49",2016-07-02 20:09:18,-73.962291,41.393968,154,553.789632309219,"64.4",106
"50",2016-07-02 20:09:22,-73.96222,41.39386,158,567.194705628667,"65.1",106
"51",2016-07-02 20:09:25,-73.962168,41.393778,161,577.303189620611,"65.9",106
"52",2016-07-02 20:09:29,-73.962103,41.393672,165,590.291710777584,"66.6",106
"53",2016-07-02 20:09:33,-73.962043,41.393563,169,603.419388369562,"67.2",106
"54",2016-07-02 20:09:36,-73.961999,41.393478,172,613.569955758522,"67.8",106
"55",2016-07-02 20:09:39,-73.961947,41.393391,175,624.183764511411,"68.6",106
"56",2016-07-02 20:09:42,-73.961871,41.393301,178,636.043667971396,"69.5",106
"57",2016-07-02 20:09:46,-73.961794,41.393209,182,648.136440514246,"70.5",106
"58",2016-07-02 20:09:51,-73.96173,41.393105,187,660.887828368815,"71.6",106
"59",2016-07-02 20:09:55,-73.96166,41.393006,191,673.362892504464,"73.0",106
"60",2016-07-02 20:09:59,-73.961591,41.392922,195,684.346598757883,"74.6",106
"61",2016-07-02 20:10:03,-73.961573,41.392814,199,696.462713592416,"76.1",106
"62",2016-07-02 20:10:08,-73.961532,41.392706,204,708.963279452372,"77.7",106
"63",2016-07-02 20:10:12,-73.961482,41.392605,208,720.95688110383,"79.3",106
"64",2016-07-02 20:10:16,-73.961437,41.392502,212,733.022938794196,"81.0",106
"65",2016-07-02 20:10:20,-73.961379,41.392403,216,745.061023656117,"82.7",106
"66",2016-07-02 20:10:24,-73.961347,41.392313,220,755.430065909818,"84.4",106
"67",2016-07-02 20:10:28,-73.96134,41.392222,224,765.576993039733,"86.2",106
"68",2016-07-02 20:10:32,-73.961325,41.392115,228,777.553868642125,"88.1",106
"69",2016-07-02 20:10:36,-73.961291,41.392004,232,790.232372614714,"90.1",106
"70",2016-07-02 20:10:40,-73.961272,41.391911,236,800.705976761379,"92.0",106
"71",2016-07-02 20:10:44,-73.961262,41.391816,240,811.314251582999,"93.6",106
"72",2016-07-02 20:10:47,-73.96125,41.391711,243,823.045680576553,"95.2",106
"73",2016-07-02 20:10:51,-73.961244,41.391617,247,833.521703000671,"96.8",106
"74",2016-07-02 20:10:57,-73.961237,41.391514,253,845.002503544221,"98.3",106
"75",2016-07-02 20:11:02,-73.961259,41.391418,258,855.845960329232,"99.8",106
"76",2016-07-02 20:11:07,-73.961267,41.391314,263,867.442449011565,"101.2",106
"77",2016-07-02 20:11:12,-73.961255,41.391217,268,878.286844924058,"102.7",106
"78",2016-07-02 20:11:17,-73.961272,41.391099,273,891.499045212245,"103.9",106
"79",2016-07-02 20:11:21,-73.961266,41.390998,277,902.753474126445,"104.9",106
"80",2016-07-02 20:11:25,-73.961246,41.39089,281,914.891449094013,"105.6",106
"81",2016-07-02 20:11:29,-73.961254,41.3908,285,924.932455321202,"106.3",106
"82",2016-07-02 20:11:34,-73.96126,41.390707,290,935.297287371206,"106.9",106
"83",2016-07-02 20:11:39,-73.961279,41.390617,295,945.440918882334,"107.4",106
"84",2016-07-02 20:11:44,-73.961267,41.390508,300,957.616059135431,"107.8",106
"85",2016-07-02 20:11:48,-73.961251,41.390415,304,968.05464926046,"108.0",106
"86",2016-07-02 20:11:52,-73.961264,41.390314,308,979.350214927672,"108.0",106
"87",2016-07-02 20:11:56,-73.961289,41.390218,312,990.2389296404,"108.0",106
"88",2016-07-02 20:11:59,-73.961299,41.390125,315,1000.62527298532,"107.7",106
"89",2016-07-02 20:12:02,-73.961306,41.390028,318,1011.43907721617,"107.4",106
"90",2016-07-02 20:12:05,-73.961294,41.389935,321,1021.84018390352,"107.1",106
"91",2016-07-02 20:12:09,-73.961278,41.389823,325,1034.37936844039,"106.8",106
"92",2016-07-02 20:12:13,-73.961289,41.389713,329,1046.65892459026,"106.5",106
"93",2016-07-02 20:12:17,-73.961282,41.389602,333,1059.02920974854,"106.1",106
"94",2016-07-02 20:12:21,-73.961345,41.389505,337,1071.04085709282,"105.8",106
"95",2016-07-02 20:12:25,-73.961467,41.389428,341,1084.35573137261,"105.7",106
"96",2016-07-02 20:12:29,-73.961625,41.389417,345,1097.60788620944,"105.7",106
"97",2016-07-02 20:12:32,-73.961766,41.38943,348,1109.47217105711,"105.9",106
"98",2016-07-02 20:12:35,-73.961916,41.389431,351,1121.99999982474,"106.3",106
"99",2016-07-02 20:12:38,-73.96205,41.389421,354,1133.24631514095,"107.0",106
"100",2016-07-02 20:12:41,-73.962179,41.389404,357,1144.18477125762,"107.9",106
"101",2016-07-02 20:12:44,-73.96231,41.389386,360,1155.30729485282,"108.9",106
"102",2016-07-02 20:12:47,-73.962437,41.389375,363,1165.98423015383,"109.9",106
"103",2016-07-02 20:12:51,-73.962579,41.389351,367,1178.14066693577,"110.9",106
"104",2016-07-02 20:12:54,-73.962712,41.389312,370,1190.06655286323,"112.0",106
"105",2016-07-02 20:12:57,-73.96282,41.389257,373,1200.96796981112,"113.0",106
"106",2016-07-02 20:13:00,-73.962916,41.389191,376,1211.84272474369,"114.0",106
"107",2016-07-02 20:13:03,-73.963008,41.389121,379,1222.78605889487,"114.8",106
"108",2016-07-02 20:13:06,-73.963097,41.389056,382,1233.15932658401,"115.4",106
"109",2016-07-02 20:13:09,-73.96318,41.388984,385,1243.75605342494,"115.6",106
"110",2016-07-02 20:13:13,-73.963254,41.38889,389,1255.90886467462,"115.7",106
"111",2016-07-02 20:13:17,-73.963329,41.388805,393,1267.25640356164,"115.5",106
"112",2016-07-02 20:13:21,-73.963453,41.388765,397,1278.52914296644,"115.2",106
"113",2016-07-02 20:13:25,-73.963572,41.388743,401,1288.76489568336,"114.9",106
"114",2016-07-02 20:13:30,-73.963703,41.388706,406,1300.45517670465,"114.8",106
"115",2016-07-02 20:13:35,-73.963833,41.388686,411,1311.53824588561,"114.7",106
"116",2016-07-02 20:13:39,-73.963954,41.388676,415,1321.70487369786,"114.7",106
"117",2016-07-02 20:13:44,-73.964075,41.388673,420,1331.81589079937,"114.9",106
"118",2016-07-02 20:13:49,-73.964221,41.388697,425,1344.29856274231,"115.4",106
"119",2016-07-02 20:13:54,-73.964354,41.388695,430,1355.40848889747,"116.1",106
"120",2016-07-02 20:13:59,-73.964509,41.388694,435,1368.35402605707,"117.0",106
"121",2016-07-02 20:14:03,-73.964654,41.388698,439,1380.47210285774,"118.3",106
"122",2016-07-02 20:14:07,-73.964796,41.388701,443,1392.33614708416,"119.7",106
"123",2016-07-02 20:14:10,-73.964927,41.388703,446,1403.2790732732,"121.3",106
"124",2016-07-02 20:14:14,-73.96506,41.388719,450,1414.52865964381,"123.0",106
"125",2016-07-02 20:14:18,-73.965198,41.388752,454,1426.6252204409,"124.7",106
"126",2016-07-02 20:14:23,-73.965327,41.3888,459,1438.65111057008,"126.6",106
"127",2016-07-02 20:14:27,-73.965468,41.388837,463,1451.12645708164,"128.3",106
"128",2016-07-02 20:14:31,-73.965571,41.388894,467,1461.81566477277,"129.9",106
"129",2016-07-02 20:14:35,-73.96568,41.388968,471,1474.09280633108,"131.4",106
"130",2016-07-02 20:14:39,-73.965774,41.38904,475,1485.31202433005,"132.8",106
"131",2016-07-02 20:14:43,-73.965859,41.389111,479,1495.93567965198,"134.1",106
"132",2016-07-02 20:14:48,-73.965943,41.389188,484,1507.01210957389,"135.4",106
"133",2016-07-02 20:14:53,-73.966024,41.389265,489,1517.93156978783,"136.6",106
"134",2016-07-02 20:14:58,-73.966123,41.389343,494,1529.92130978837,"137.8",106
"135",2016-07-02 20:15:03,-73.96623,41.389404,499,1541.14476406056,"138.9",106
"136",2016-07-02 20:15:08,-73.966332,41.389466,504,1552.1083984093,"140.0",106
"137",2016-07-02 20:15:13,-73.966446,41.389538,509,1564.55368732652,"140.9",106
"138",2016-07-02 20:15:17,-73.966532,41.389603,513,1574.7488863631,"141.9",106
"139",2016-07-02 20:15:22,-73.966608,41.389687,518,1586.05041805494,"143.0",106
"140",2016-07-02 20:15:26,-73.966712,41.389736,522,1596.30676126043,"144.1",106
"141",2016-07-02 20:15:31,-73.966834,41.3898,527,1608.73939271927,"145.2",106
"142",2016-07-02 20:15:35,-73.966957,41.389848,531,1620.31835845123,"146.2",106
"143",2016-07-02 20:15:39,-73.967072,41.389897,535,1631.36346528577,"147.3",106
"144",2016-07-02 20:15:43,-73.967196,41.389943,539,1642.91617908358,"148.4",106
"145",2016-07-02 20:15:47,-73.967313,41.389966,543,1653.01729544216,"149.4",106
"146",2016-07-02 20:15:52,-73.967466,41.389975,548,1665.83428734162,"150.5",106
"147",2016-07-02 20:15:56,-73.967596,41.389964,552,1676.76005635103,"151.6",106
"148",2016-07-02 20:16:00,-73.967735,41.389937,556,1688.75141533145,"152.7",106
